fid,username,user_display_name,user_pfp_url,eth_address,app_name,icon_url,domain,official_trending_score,momentum,arbitrum_txs,arbitrum_users,engagement_ratio,arbitrum_percentage,arbitrum_tx_score,arbitrum_user_score,arbitrum_focus_score,dedication_bonus,arbitrum_weighted_score,App Score,Escrow Address,Escrow Active,Include in Rewards
249702,0xanas.eth,Anas,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/34bbb7a8-5aa3-45ea-b646-2638342d2300/original,0xe6cfdaf74bfec00fafde9724a46cb052548c8488,WAGMI Blaster,https://wagmi-blaster.vercel.app/images/icon.jpg,wagmi-blaster.vercel.app,8.99,1.656,24,11,2.18,100,2.796,3.238,10,5,19.33,1933,,FALSE,Y
384969,secgov,Jasper Disney 🆙,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/52dcd129-e539-4dc0-3669-1c9bfca0b200/original,0x657280434da1259f2fd853d6e17e85a86c3030a4,UpOnly,https://media.upon.ly/uponly/farcaster/icon.png,f.upon.ly,12.58,1.664,788,350,2.25,13.21,5.794,7.636,3.634,0,18.9,1890,,FALSE,Y
8685,markcarey,Mark Carey 🎩🫂,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/ce812b3c-6930-41e7-b2a1-d70075494500/original,0x0c65be17e86bcb6019148be0a4e8f0a4510a70cb,Warplet mfers,https://warpletmfers.frm.lol/img/warpletmfers/icon.png,warpletmfers.frm.lol,26.54,1.775,2,2,1,0.44,0.954,1.431,0.665,0,18.09,1809,,FALSE,N
537378,gmonchain.eth,GMonchain.base.eth,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/c626c36d-6fbe-4aab-4623-392b21089d00/original,0x5e4aadfdb8e274e959946c43f974d9d3e06d19a9,GMonchain,https://github.com/Web3vDev/Assets/blob/main/GMonchain/icon.png?raw=true,gmonchain.vercel.app,19.91,1.694,51,22,2.32,0.92,3.432,4.085,0.959,0,17.69,1769,,FALSE,Y
537378,gmonchain.eth,GMonchain.base.eth,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/c626c36d-6fbe-4aab-4623-392b21089d00/original,0x5e4aadfdb8e274e959946c43f974d9d3e06d19a9,Warplet Blind Box,https://warpletbox.xyz/logo.png,warpletbox.xyz,25,1.344,3,2,1.5,0.04,1.204,1.431,0.199,0,16.52,1652,,FALSE,N
874542,clanker,tokenbot,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/f770987a-9c3a-45fd-eee3-2c0b182f8700/original,0xc204af95b0307162118f7bc36a91c9717490ab69,clanker,https://www.clanker.world/logo_circle.png,www.clanker.world,23.15,1.205,12,6,2,0.48,2.228,2.535,0.696,0,16.52,1652,,FALSE,N
1356,farcasteradmin.eth,borodutch,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/4d548516-92a2-4405-8dec-178797089d00/original,0x8d5044d9ee7cec41eeebef12b749e62e2ab9f131,$EGGS,https://eggs.name/frames/logo.png,eggs.name,24.46,1.202,2,2,1,0.02,0.954,1.431,0.135,0,15.89,1589,,FALSE,N
8685,markcarey,Mark Carey 🎩🫂,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/ce812b3c-6930-41e7-b2a1-d70075494500/original,0x0c65be17e86bcb6019148be0a4e8f0a4510a70cb,Warplet Nouns,https://warpletnouns.frm.lol/img/warpletnouns/icon.png,warpletnouns.frm.lol,23.44,1.775,1,1,1,0.65,0.602,0.903,0.808,0,15.7,1570,,FALSE,N
230238,mvr,mvr 🐹,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/4b6228ac-5a61-4429-675d-b8d62665a300/original,0xa272bc9d6f462f4f08849adeaf6e49a5d4430c38,vibeshift,https://vibeshift.ham.cooking/vibeshift/icon.png,vibeshift.ham.cooking,17.25,1.704,6,2,3,8.82,1.69,1.431,2.97,0,14.5,1450,,FALSE,N
234692,tamastorok.eth,Thomas,https://i.imgur.com/cu46hik.jpg,0x42b6b0d25d502f07ee655ec5b90fe7f3555641cf,Drawcast,https://drawcast.xyz/icon.png,drawcast.xyz,20.19,1.7,1,1,1,0.06,0.602,0.903,0.244,0,13.3,1330,,FALSE,N
268438,cashlessman.eth,cashlessman 🎩,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/a74b030e-2d92-405c-c2d0-1696f5d51d00/original,0x6100b29a235ebb272f4b10c1964ad9692ee67e13,Degen Counter,https://counter.itscashless.com/logo.png,counter.itscashless.com,20.01,1.695,1,1,1,0.12,0.602,0.903,0.341,0,13.26,1326,,FALSE,N
2210,kenny,kenny 🎩,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/e6f1d0c9-26ff-4701-4bc5-f748256ab900/rectcrop3,0x10fc964ef70c8467cd8c53e9ed9347422adf96a8,poidh,https://poidh.xyz/icon.png,poidh.xyz,15.54,1.419,7,3,2.33,6.54,1.806,1.806,2.558,0,12.83,1283,,FALSE,N
1142647,propagandanow,PROPAGANDA,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/caa1945e-a078-467f-d428-484f536cd900/rectcrop3,0x16ded57181988c27d67f64d7ed826b66a168d37c,Piggy,https://piggy-waitlist.vercel.app/icon-piggy.png,piggy-waitlist.vercel.app,18.25,1.397,1,1,1,2.44,0.602,0.903,1.562,0,12.66,1266,,FALSE,N
369863,diviflyy,DiviFlyy 🏛️,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/68486cbd-1549-4c14-f092-bdcbcfc1d900/original,0xd4d065624f7d0f2b67f454903bc7ad24d65d1d0e,Empire Builder,https://www.empirebuilder.world/empirepng.png,www.empirebuilder.world,15.31,1.686,2,1,2,3.39,0.954,0.903,1.841,0,11.68,1168,,FALSE,N
239396,oxdev.eth,oxdev.base.eth 🎩🔵Ⓜ️,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/69b43cac-3a5e-4753-3f89-263c21688f00/original,0xa99201a8fddd43a65b42e125660d0c9043a08c20,The-Carplet,https://the-carplet.vercel.app/icon.png,the-carplet.vercel.app,17.39,1.411,1,1,1,0.26,0.602,0.903,0.51,0,11.57,1157,,FALSE,N
19129,sinaver,Sinaver Idrisov,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/2ed7716b-a63b-49ab-2fb2-84fcf2e60200/original,0xbde9500e8726032f1ad0876b76ac0b4923b23fcc,Payflow,https://app.payflow.me/apple-touch-icon.png,app.payflow.me,15.49,1.678,1,1,1,3.45,0.602,0.903,1.857,0,11.55,1155,,FALSE,N
1252503,cobuild,cobuild,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/d04da10f-e11e-4bbd-8906-563c17932200/original,0x1563eef7dc135e7d8c6c6793eb5538da5ca6e596,Cobuild,https://cobuild-miniapp-qwhcb77xx-flows-6addfc4e.vercel.app/web-app-icon-1000x1000.png,justco.build,15.86,1.25,1,1,1,1.85,0.602,0.903,1.361,0,10.95,1095,,FALSE,N
11512,iamng,ng,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/c6913380-9aed-4c79-3818-4e523e111e00/original,0xf28f54252fc34835bfe2da58371a502847ac46ee,BARK,https://whatdogfcimg.indexapplications.com/icon.png,whatdog.iamng.wtf,12.38,1.682,4,2,2,1.08,1.398,1.431,1.04,0,10.03,1003,,FALSE,N
385651,mfbevan.eth,mfbevan,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/0caa69a5-9a77-4b8f-4db0-770a14261100/original,0xbce1fdd6c57d7eefb63118454b613f8c30ac44a5,Slay to Earn,https://assets.foundly.dev/slay/logo/logo_256.png,slay.farverse.games,15.4,1.051,1,1,1,0,0.602,0.903,0.063,0,9.9,990,,FALSE,N
6591,mattlee,Matt,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/f5aac6a1-6ad7-407a-4d8d-8034c2a7b400/original,0x1cee629ceb06538874f30ead124c004cecbeb089,Tortoise,https://tortoise.studio/icon.png,tortoise.studio,13.82,1.14,1,1,1,0.78,0.602,0.903,0.88,0,9.38,938,,FALSE,N
4044,alec.eth,alec.eth🤠,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/ee159e2f-c3fa-4302-4095-064a8ab9ba00/original,0x572fef3d9a1712c7d449c7e15c335d6860328086,Hypesino,https://miniapp.hypesino.com/hypesino_logo.png,miniapp.hypesino.com,13.03,1.131,2,2,1,0.09,0.954,1.431,0.298,0,9.03,903,,FALSE,N
17114,matchaxyz,Matcha 🍵✨ (mainnet arc),https://tba-mobile.mypinata.cloud/ipfs/QmVehWZbWAYkDnUYrh8uTbdT7NJYCw9a8SDQVeLBDXQHNA?pinataGatewayToken=3nq0UVhtd3rYmgYDdb1I9qv7rHsw-_DzwdWkZPRQ-QW1avFI9dCS8knaSfq_R5_q,0x039b4234019fa7b205b2cb27e5b51bee07da98b1,Matcha,https://mini.matcha.xyz/images/farcaster/mini_app_icon.png,mini.matcha.xyz,10.9,1.663,2,1,2,3.39,0.954,0.903,1.841,0,9,900,,FALSE,N
230238,mvr,mvr 🐹,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/4b6228ac-5a61-4429-675d-b8d62665a300/original,0xa272bc9d6f462f4f08849adeaf6e49a5d4430c38,Warpleth,https://warpleth.onchain.cooking/warpleth/icon.png,warpleth.onchain.cooking,11.72,1.083,2,2,1,1.82,0.954,1.431,1.348,0,8.65,865,,FALSE,N
324489,overtimemarkets,Overtime_io,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/7a1564c6-f7b6-46c6-6846-8bedc88bf500/original,0x15df4cbb83102865e765a3b3f9ddfdb4d79788a8,Overtime Sportsbook,https://www.overtimemarkets.xyz/logos/logo1024.png,www.overtimemarkets.xyz,7.42,1.654,10,2,5,5.26,2.083,1.431,2.294,0,8.29,829,,FALSE,N
